CIN,altitude,longitude,Speed,RPM,ENGINE_LOAD,AmbientAirTemp,ThrottlePos,X,Y,Z,zone,acc_angX,acc_angY,acc_angZ,Angle_Rot,TargetValue,time,trip_id
2,34.73363107,10.68567649,28.0,2296.0,12.2,39.0,15.3,-1.012,10.003,1.388,Urbaine,-5.7248986599132845,80.28989670116384,7.8635307175484,2.075242067197508,normal,2020-10-08 09:59:58,0
2,34.73353170000001,10.6852195,47.0,3604.0,96.5,39.0,88.2,-0.632,9.674,3.159,Urbaine,-3.5551522153168,71.61165996236757,18.05586810453879,1.9406275644695368,normal,2020-10-08 10:00:02,0
2,34.73342488,10.68462537,56.0,2729.0,100.0,39.0,88.2,-1.053,9.88,2.709,Urbaine,-5.871032725409247,73.63851052013565,15.25723945892105,1.1427985745906994,normal,2020-10-08 10:00:06,0
2,34.73327298,10.68391881,61.0,3006.0,72.5,39.0,34.9,-0.742,9.358,3.764,Urbaine,-4.209039069891683,67.73678318501514,21.85825673715405,6.387725785572741,normal,2020-10-08 10:00:10,0
2,34.73314096,10.68323901,57.0,2685.0,0.0,39.0,18.4,0.377,9.419,3.254,Urbaine,2.1674673137635647,70.85314268629075,19.05249531681609,12.022821479718713,normal,2020-10-08 10:00:14,0
2,34.73309524,10.68267108,52.0,2522.0,9.4,39.0,16.9,-2.926,9.868,2.645,Urbaine,-15.988688351213453,68.24194401949829,14.418068991386091,8.559423345286717,normal,2020-10-08 10:00:18,0
2,34.73293519,10.68213507,43.0,2117.0,94.1,39.0,88.2,-0.269,9.857,1.773,Urbaine,-1.5391997350155169,79.7226034006964,10.197472940776496,0.10356643195376593,normal,2020-10-08 10:00:22,0
2,34.73284091,10.68146979,51.0,2482.0,0.0,39.0,16.9,-1.288,9.495,2.039,Urbaine,-7.558056263673045,75.78025194519974,12.018186884445932,0.053326415283720514,normal,2020-10-08 10:00:26,0
2,34.73274153,10.68075928,62.0,3044.0,92.5,39.0,88.2,-1.38,8.867,5.0280000000000005,Urbaine,-7.713219346824116,59.56894488179947,29.274333150367852,0.8800423508318431,normal,2020-10-08 10:00:30,0
2,34.73264524,10.68006616,58.0,2852.0,55.7,39.0,51.8,-0.196,8.797,3.937,Urbaine,-1.1655328220578312,65.89101566880888,24.115263560219827,1.2764810778957667,normal,2020-10-08 10:00:34,0
2,34.73255864,10.6793638,56.0,2754.0,63.1,39.0,28.6,-0.913,9.193,3.094,Urbaine,-5.3794909635505945,70.69349820096527,18.524184060634173,1.4042166631929265,normal,2020-10-08 10:00:38,0
2,34.73245053,10.67862323,59.0,2834.0,1.6,39.0,18.0,0.914,9.007,3.989,Urbaine,5.303217405869163,65.59281868591117,23.78905918545493,0.8598917044100176,normal,2020-10-08 10:00:42,0
2,34.73236061,10.67788031,60.0,2977.0,11.4,39.0,18.8,0.31,8.955,3.138,Urbaine,1.871965926701176,70.63142875081836,19.308871567818176,1.5527886738022971,normal,2020-10-08 10:00:46,0
2,34.73225861,10.67713192,70.0,3384.0,94.1,39.0,88.2,-0.72,9.119,3.5580000000000003,Urbaine,-4.208616286297214,68.32220802786169,21.26322010623047,1.9948274611477357,normal,2020-10-08 10:00:50,0
2,34.73213202,10.67636006,66.0,3157.0,19.2,39.0,18.4,0.293,9.74,2.795,Urbaine,1.6569548443683662,73.93662270372509,16.011310446168846,1.1584372171877249,normal,2020-10-08 10:00:54,0
2,34.73197841,10.67559193,64.0,3124.0,16.1,39.0,18.8,-0.665,9.61,1.872,Urbaine,-3.88732231826539,78.35327836835343,11.002001870507247,0.6032313517209786,normal,2020-10-08 10:00:58,0
2,34.73180348,10.67480073,68.0,3274.0,18.8,39.0,19.2,-0.524,9.558,1.928,Urbaine,-3.0774594106495603,78.2263417246751,11.392591535451615,4.352732874697722,normal,2020-10-08 10:01:02,0
2,34.73163624,10.67400464,67.0,3266.0,25.1,39.0,24.3,-0.204,9.22,2.765,Urbaine,-1.214619172255688,73.2945886752202,16.696740578613753,4.261471461562849,normal,2020-10-08 10:01:06,0
2,34.73152851,10.67318759,70.0,3228.0,92.2,39.0,88.2,-0.157,9.328,3.157,Urbaine,-0.9137595098706666,71.31058352279133,18.703489428315823,0.471332692934368,normal,2020-10-08 10:01:10,0
2,34.73148004,10.67233395,74.0,2621.0,93.7,39.0,88.2,-1.1,9.413,2.7960000000000003,Urbaine,-6.394454995823674,72.32764716819615,16.444502882505915,0.7506742441447045,normal,2020-10-08 10:01:14,0
2,34.73142565,10.67149766,67.0,2350.0,0.0,39.0,17.3,-0.6579999999999999,9.754,2.318,Urbaine,-3.7566190731983733,76.15591882725919,13.344550885599162,2.4971150865341087,normal,2020-10-08 10:01:18,0
2,34.73135988,10.67065668,72.0,2526.0,71.0,39.0,27.1,-0.603,9.401,3.829,Urbaine,-3.401029601216784,67.6213971769789,22.129215375373878,97.75412567459259,normal,2020-10-08 10:01:22,0
